store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
flat,-,W1,1048576,300,16,0,1,0.4043,0.5095,0.9293,3.2146,314810995,9600,16798339,0.0,p215,c527403b08c3e836,17847672,16797819,1.06,0,-1
chunked,65536K,W1,1048576,300,16,0,1,0.0049,0.0111,0.0195,0.0829,3995,0,1190515,0.0,p215,c527403b08c3e836,17847672,1204699,14.82,0,-1
chunked,65536K,W1,1048576,300,16,0,1,0.0181,0.0443,0.0753,0.2817,6982777,0,8113510,0.0,p215,c527403b08c3e836,17847672,8130862,2.20,0,-1
chunked,65536K,W1,1048576,300,16,0,1,0.0015,0.0046,0.0108,0.0553,3995,0,1209192,0.0,p215,c527403b08c3e836,17847672,1230768,14.50,927949,-1
flat,-,W1,1024,2000,1,0,1,0.0004,0.0006,0.0012,0.0265,8341819,64000,7002,0.0,p215,c0286964e7f08c92,13924,6962,2.00,0,-1
chunked,4096K,W1,1024,2000,1,0,1,0.0053,0.0098,0.0188,0.1999,25111,0,42325,0.0,p215,c0286964e7f08c92,13924,188765,0.07,0,-1
chunked,65536K,W1,1024,2000,1,0,1,0.0062,0.0088,0.0164,0.0588,25111,0,42325,0.0,p215,c0286964e7f08c92,13924,188765,0.07,0,-1
flat,-,W1,1024,2000,4,0,1,0.0006,0.0008,0.0040,0.0497,8341819,64000,28020,0.0,p215,c0286964e7f08c92,34846,27884,1.25,0,-1
chunked,4096K,W1,1024,2000,4,0,1,0.0068,0.0135,0.0476,1.8805,25111,0,82960,0.0,p215,c0286964e7f08c92,34846,229016,0.15,0,-1
chunked,65536K,W1,1024,2000,4,0,1,0.0081,0.0124,0.0299,0.3768,25111,0,82960,0.0,p215,c0286964e7f08c92,34846,229016,0.15,0,-1
flat,-,W1,1024,2000,16,0,1,0.0006,0.0009,0.0062,0.2095,8341819,64000,111522,0.0,p215,c0286964e7f08c92,117964,111002,1.06,0,-1
chunked,4096K,W1,1024,2000,16,0,1,0.0071,0.0138,0.0507,1.5916,25111,0,243995,0.0,p215,c0286964e7f08c92,117964,388659,0.30,0,-1
chunked,65536K,W1,1024,2000,16,0,1,0.0077,0.0123,0.0341,0.8820,25111,0,243995,0.0,p215,c0286964e7f08c92,117964,388659,0.30,0,-1
flat,-,W2,1024,2000,1,0,1,0.0004,0.0006,0.0011,1.4697,4049000,64000,3064,0.0,p215,1e563f9b1c9a800f,6048,3024,2.00,0,-1
chunked,4096K,W2,1024,2000,1,0,1,0.0125,0.0218,0.0736,1.8536,2000,0,86336,0.0,p215,1e563f9b1c9a800f,6048,211064,0.03,0,-1
chunked,65536K,W2,1024,2000,1,0,1,0.0159,0.0258,0.0443,0.6324,2000,0,86336,0.0,p215,1e563f9b1c9a800f,6048,211064,0.03,0,-1
flat,-,W2,1024,2000,4,0,1,0.0005,0.0006,0.0012,0.0151,4049000,64000,12226,0.0,p215,1e563f9b1c9a800f,15114,12090,1.25,0,-1
chunked,4096K,W2,1024,2000,4,0,1,0.0136,0.0385,0.0982,1.9674,2000,0,191936,0.0,p215,1e563f9b1c9a800f,15114,316328,0.05,0,-1
chunked,65536K,W2,1024,2000,4,0,1,0.0167,0.0356,0.0611,0.5817,2000,0,191936,0.0,p215,1e563f9b1c9a800f,15114,316328,0.05,0,-1
flat,-,W2,1024,2000,16,0,1,0.0005,0.0006,0.0026,0.1518,4049000,64000,48784,0.0,p215,1e563f9b1c9a800f,51288,48264,1.06,0,-1
chunked,4096K,W2,1024,2000,16,0,1,0.0151,0.0254,0.0419,0.1888,2000,0,612720,0.0,p215,1e563f9b1c9a800f,51288,735800,0.07,0,-1
chunked,65536K,W2,1024,2000,16,0,1,0.0167,0.0266,0.0425,0.1363,2000,0,612720,0.0,p215,1e563f9b1c9a800f,51288,735800,0.07,0,-1
flat,-,W1,4096,2000,1,0,1,0.0008,0.0011,0.0053,0.4314,14375720,64000,9977,0.0,p215,2327a13854c1750a,19874,9937,2.00,0,-1
chunked,4096K,W1,4096,2000,1,0,1,0.0110,0.0174,0.0311,0.1536,25111,0,60971,0.0,p215,2327a13854c1750a,19874,201779,0.10,0,-1
chunked,65536K,W1,4096,2000,1,0,1,0.0103,0.0154,0.0284,0.1845,25111,0,60971,0.0,p215,2327a13854c1750a,19874,201779,0.10,0,-1
flat,-,W1,4096,2000,4,0,1,0.0008,0.0010,0.0073,0.0650,14375720,64000,39920,0.0,p215,2327a13854c1750a,49721,39784,1.25,0,-1
