store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok,coalesce,locality,edit_size
chunked,65536K,W6,16777216,150,8,0,1,0.0055,0.0153,0.0356,0.0403,150,0,16839582,0.0,p215,444725c2218af158,150996266,16848230,8.96,0,-1,none,append,1
flat,-,W6,16777216,150,8,0,1,5.9035,6.7197,7.1923,7.2622,2516593725,4800,134219164,0.0,p215,444725c2218af158,150996266,134218900,1.13,0,-1,none,append,1
chunked,65536K,W6,16777216,150,8,0,1,0.0108,0.0188,0.0378,0.0595,150,0,16839582,0.0,p215,b506fdca674c88a2,150996266,16848230,8.96,0,-1,none,middle,1
flat,-,W6,16777216,150,8,0,1,6.3582,8.2295,10.9170,11.1816,2516593725,4800,134219164,0.0,p215,b506fdca674c88a2,150996266,134218900,1.13,0,-1,none,middle,1
chunked,65536K,W6,16777216,150,8,0,1,0.0110,0.0194,0.0303,0.0338,150,0,16858206,0.0,p215,45604496a241a622,150996266,16864582,8.95,0,-1,none,random,1
flat,-,W6,16777216,150,8,0,1,6.6529,9.8051,18.2364,19.3519,2516593725,4800,134219164,0.0,p215,45604496a241a622,150996266,134218900,1.13,0,-1,none,random,1
chunked,65536K,W6,16777216,150,8,0,1,0.0169,0.0260,0.1288,4.9373,150,0,16858206,0.0,p215,fd2ed77a8f91b49e,150996266,16864582,8.95,0,-1,none,hot,1
flat,-,W6,16777216,150,8,0,1,9.8406,19.7738,27.1633,27.3323,2516593725,4800,134219164,0.0,p215,fd2ed77a8f91b49e,150996266,134218900,1.13,0,-1,none,hot,1
chunked,65536K,W6,16777216,150,8,0,1,0.0053,0.0144,0.0276,0.0426,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1,none,append,10
flat,-,W6,16777216,150,8,0,1,6.7119,10.5276,14.7225,18.9436,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1,none,append,10
chunked,65536K,W6,16777216,150,8,0,1,0.0155,0.0246,0.0440,0.0536,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1,none,middle,10
flat,-,W6,16777216,150,8,0,1,7.9098,17.7336,25.2586,31.1522,2516673000,4800,134227368,0.0,p215,ee15ef26aeb20a24,151005520,134227104,1.13,0,-1,none,middle,10
chunked,65536K,W6,16777216,150,8,0,1,0.0151,0.0223,0.0605,0.0813,1200,0,16859256,0.0,p215,9da67b186d5fb124,151005520,16865632,8.95,0,-1,none,random,10
flat,-,W6,16777216,150,8,0,1,6.6350,8.1665,10.1069,11.0574,2516673000,4800,134227368,0.0,p215,9da67b186d5fb124,151005520,134227104,1.13,0,-1,none,random,10
chunked,65536K,W6,16777216,150,8,0,1,0.0163,0.0232,0.1195,2.6483,1200,0,16858744,0.0,p215,a15504525c5c90ac,151005520,16865184,8.95,0,-1,none,hot,10
flat,-,W6,16777216,150,8,0,1,7.2191,9.6758,14.3460,15.7931,2516673000,4800,134227368,0.0,p215,a15504525c5c90ac,151005520,134227104,1.13,0,-1,none,hot,10
chunked,65536K,W6,16777216,150,8,0,1,0.0057,0.0159,0.0302,0.3785,1200,0,16840632,0.0,p215,7d65cb35733d83d4,151005520,16849280,8.96,0,-1,none,append,100
flat,-,W6,16777216,150,8,0,1,7.3963,11.7871,19.7019,19.9703,2516673000,4800,134227368,0.0,p215,7d65cb35733d83d4,151005520,134227104,1.13,0,-1,none,append,100
chunked,65536K,W6,16777216,150,8,0,1,0.0144,0.0206,0.0280,0.0318,1200,0,16859128,0.0,p215,ee15ef26aeb20a24,151005520,16865520,8.95,0,-1,none,middle,100
