store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label
flat,-,W1,65536,3000,1,0,1,0.0041,0.0506,0.0769,0.4375,209923359,96000,74433,0.0,p21
chunked,4096K,W1,65536,3000,1,0,1,0.0298,0.0635,0.0880,0.2125,37763,106755296,214271,0.0,p21
chunked,65536K,W1,65536,3000,1,0,1,0.0294,0.0575,0.0932,0.2857,37763,106200816,213783,0.0,p21
chunked,262144K,W1,65536,3000,1,0,1,0.0223,0.0687,0.1108,0.2963,37763,106200816,213783,0.0,p21
flat,-,W2,65536,3000,1,0,1,0.0041,0.0460,0.0678,0.1717,201109500,96000,68576,0.0,p21
chunked,4096K,W2,65536,3000,1,0,1,0.0195,0.0404,0.0831,0.2781,3000,87116672,198792,0.0,p21
chunked,65536K,W2,65536,3000,1,0,1,0.0206,0.0386,0.0740,0.3276,3000,86396672,198192,0.0,p21
chunked,262144K,W2,65536,3000,1,0,1,0.0217,0.0368,0.0513,0.5130,3000,86396672,198192,0.0,p21
flat,-,W1,1048576,3000,1,0,1,0.3950,0.5185,0.6726,1.6862,3159043359,96000,1057473,0.0,p21
chunked,4096K,W1,1048576,3000,1,0,1,0.0271,0.0473,0.0819,0.4214,37763,131859024,1224428,0.0,p21
chunked,65536K,W1,1048576,3000,1,0,1,0.0238,0.0421,0.0709,0.1931,37763,120458144,1214956,0.0,p21
chunked,262144K,W1,1048576,3000,1,0,1,0.0237,0.0440,0.0716,0.4793,37763,119882144,1214476,0.0,p21
flat,-,W2,1048576,3000,1,0,1,0.3918,0.5007,0.6767,1.1935,3150229500,96000,1051616,0.0,p21
chunked,4096K,W2,1048576,3000,1,0,1,0.0190,0.0324,0.0608,0.9459,3000,98786432,1191592,0.0,p21
chunked,65536K,W2,1048576,3000,1,0,1,0.0188,0.0320,0.0583,0.1615,3000,87292752,1182008,0.0,p21
chunked,262144K,W2,1048576,3000,1,0,1,0.0183,0.0328,0.0586,0.1093,3000,86716752,1181528,0.0,p21
flat,-,W1,1048576,300,1,0,1,0.3706,0.4923,0.7673,0.7920,314810995,9600,1049893,0.0,p21
chunked,65536K,W1,1048576,300,1,0,1,0.0042,0.0095,0.0168,0.0181,3995,1327504,1066379,0.0,p21
flat,-,W1,1048576,300,16,0,1,0.3972,0.5074,0.6231,0.7993,314810995,9600,16798339,0.0,p21
chunked,65536K,W1,1048576,300,16,0,1,0.0054,0.0124,0.0240,0.0356,3995,1327504,1190475,0.0,p21
flat,-,W3,1048576,300,1,0,1,0.5119,0.6395,0.8459,1.0654,314632755,9600,1049021,0.0,p21
chunked,65536K,W3,1048576,300,1,0,1,0.0060,0.0112,0.0287,0.1158,405,1543200,1066533,0.0,p21
flat,-,W3,1048576,300,16,0,1,0.4784,0.6183,0.7622,0.8059,314632755,9600,16783991,0.0,p21
chunked,65536K,W3,1048576,300,16,0,1,0.0065,0.0157,0.0496,0.0995,405,1543200,1211973,0.0,p21
flat,-,W1,10485760,300,1,0,1,4.3248,5.2223,6.4831,8.6288,3145966195,9600,10487077,0.0,p21
chunked,65536K,W1,10485760,300,1,0,1,0.0116,0.0175,0.0350,0.0921,3995,2018704,10509323,0.0,p21
flat,-,W1,10485760,300,16,0,1,4.7012,5.7623,6.9103,11.1948,3145966195,9600,167793283,0.0,p21
chunked,65536K,W1,10485760,300,16,0,1,0.0133,0.0205,0.0431,0.2034,3995,2018704,10667979,0.0,p21
flat,-,W3,10485760,300,1,0,1,3.9708,4.9848,6.0445,6.6635,3145787955,9600,10486205,0.0,p21
chunked,65536K,W3,10485760,300,1,0,1,0.0071,0.0136,0.0193,0.0214,405,2234400,10509477,0.0,p21
flat,-,W3,10485760,300,16,0,1,3.6366,4.4328,5.8452,6.0295,3145787955,9600,167778935,0.0,p21
chunked,65536K,W3,10485760,300,16,0,1,0.0083,0.0178,0.0335,0.0380,405,2234400,10689477,0.0,p21
flat,-,W5,10485760,100,16,8,1,3.2976,4.1857,5.4081,5.4081,1048939096,3200,167885990,5353.6,p21
chunked,65536K,W5,10485760,100,16,8,1,0.0061,0.0125,0.0186,0.0186,14397,397296,10585735,5053.4,p21
chunked,4096K,W5,104857600,60,4,0,1,0.3277,0.5363,0.6139,0.6139,8412,24630848,107126658,0.0,p21
chunked,16384K,W5,104857600,60,4,0,1,0.1126,0.1657,0.2254,0.2254,8412,6199792,105437122,0.0,p21
chunked,65536K,W5,104857600,60,4,0,1,0.0468,0.0607,0.0696,0.0696,8412,1591792,105014722,0.0,p21
chunked,262144K,W5,104857600,60,4,0,1,0.0176,0.0255,0.0337,0.0337,8412,439792,104909122,0.0,p21
flat,-,W5,104857600,60,4,0,1,45.5311,64.0863,96.4462,96.4462,6291575841,1920,419447469,0.0,p21
